utterance_id,Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised,Manually_corrected,utt_cyr_norm_lowercase_nopunct
UTT_000002,ALE,1;01.29,ALE,"mama, mama !","['mama', ',', 'mama', '!']","['mama', ',', 'mama', '!']","['mama', 'mama']",2,"Мама, мама !","['мама', 'мама']","Мама , мама !","Мама , мама !",,мама мама
UTT_000004,ALE,1;01.29,ALE,ej tam !,"['ej', 'tam', '!']","['ej', 'tam', '!']","['ej', 'tam']",2,Ей там !,"['ей', 'там']",Ей там !,Ей там !,,ей там
UTT_000014,ALE,1;01.29,ALE,na enna [: edna] .,"['na', 'edna', '.']","['na', 'edna', '.']","['na', 'edna']",2,На енна [: една] .,"['на', 'енна', 'една']",На енна .,На една .,,на една
UTT_000038,ALE,1;01.29,ALE,ne shte !,"['ne', 'shte', '!']","['ne', 'shte', '!']","['ne', 'shte']",2,Не ще !,"['не', 'ще']",Не ще !,Не ще !,,не ще
UTT_000047,ALE,1;01.29,ALE,ej tam !,"['ej', 'tam', '!']","['ej', 'tam', '!']","['ej', 'tam']",2,Ей там !,"['ей', 'там']",Ей там !,Ей там !,,ей там
UTT_000099,ALE,1;01.29,ALE,a mo mo .,"['a', 'mo', 'mo', '.']","['a', 'mo', 'mo', '.']","['a', 'mo', 'mo']",3,А мо мо .,"['а', 'мо', 'мо']",А мо мо .,А мо мо .,,а мо мо
UTT_000191,ALE,1;01.29,ALE,daj-daj de !,"['daj-daj', 'de', '!']","['daj-daj', 'de', '!']","['daj-daj', 'de']",2,Дай-дай де !,"['дай-дай', 'де']",Дай-дай де !,Дай-дай де !,,дай дай де
UTT_000207,ALE,1;01.29,ALE,ej tam !,"['ej', 'tam', '!']","['ej', 'tam', '!']","['ej', 'tam']",2,Ей там !,"['ей', 'там']",Ей там !,Ей там !,,ей там
UTT_000231,ALE,1;01.29,ALE,aa be !,"['aa', 'be', '!']","['aa', 'be', '!']","['aa', 'be']",2,Аа бе !,"['аа', 'бе']",Аа бе !,Аа бе !,,аа бе
UTT_000239,ALE,1;01.29,ALE,"+"" pate te .","['pate', 'te', '.']","['pate', 'te', '.']","['pate', 'te']",2,"+"" пате те .","['пате', 'те']",""" пате те .",""" пате те .", пате те .,пате те
UTT_000279,ALE,1;01.29,ALE,"daj, daj, daj !","['daj', ',', 'daj', ',', 'daj', '!']","['daj', ',', 'daj', ',', 'daj', '!']","['daj', 'daj', 'daj']",3,"Дай, дай, дай !","['дай', 'дай', 'дай']","Дай , дай , дай !","Дай , дай , дай !",,дай дай дай
